Food product,Food image,Barcode,Barcode image,Nutrition facts per serving (g),,,,,Calories ,Ingredients,Allergens
Golda Dolce latte coffee 200 ,,5306150,,2.5,22,2,15,0.105,178.5,"Water, Sugar, Vegetable Creamer (contains milk). Skim Milk Powder, Coffee Extract (2 3%). Instant Ground Coffee (0 63%). Vegetable Stabilizer, Synthetic Flavor (contains antioxidant tocopherol), Vegetable Emulsifier. Acidity Regulator, Salt, Malt Extract (contains class III caramel natural color), Phosphate Stabilizer",Milk
Konyaku Grain,,"8997235700091(EAN / EAN-13)
",,0,18,1,,0.012,76,"Kanji flour, iles-iles flour 12%, water, calcium carbonate",
Selected Roasted Almond,,"8994096223905(EAN / EAN-13)
",,15,3,8,,,179,"Almonds, Soybean and/or peanut oil, Sea salt.","Nuts, Soy"
Pop Mie Kuah Pedes Dower rasa Ayam Pedas,,0089686067002(EAN / EAN-13) 089686067002 (UPC / UPC-A),,16,46,6,4,1.32,368,"Wheat flour, vegetable oil, tapioca starch, salt, emulsifiers (vegetable), stabilizers (vegetable and phosphate), acidity regulator, antioxidant TBHQ and synthetic colorant tartrazine CI 1940 FOODS: salt, sugar, flavor enhancer",
Myroti gandum - Yamazaki,,"8994046010104(EAN / EAN-13)

",,1.5,38,7,4,,209.5,"Wheat flour, Whole Wheat Flour, Sugar, Margarine, Yeast, Salt, Vegetable Emulsifier, Whey Powder, Preservative Calcium Propionate, Malt Extract, Vegetable Stabilizer","Wheat Flour, Whole Wheat Flour, Whey Powder, Malt Extract"
Oishi Pillows Cokelat - 100 g,,8997004301108(EAN / EAN-13),,2,8,1,4,0.062,70,"Sugar, wheat flour, rice, vegetable oil (containing antioxidant TBHQ), milk powder, cocoa powder, whey powder, salt, emulsifier (soy lecithin), chocolate flavor and vanilla.","Wheat, Milk, Soy, Nuts, Oat"
Kinder joy,,8992952954093(EAN / EAN-13),,8,11,1,8,0.03,152,"Sugar, Vegetable Oils (Palm, Sheanut and Sunflower), Skim Milk Powder, Wheat Flour, Cocoa, Wheat Starch, Cocoa Mass, Malt Extract, Lecithin as Emulsifier, Whey Proteins, Cocoa Butter, Artificial Flavors, Ammonium Bicarbonate and Sodium Bicarbonate as Leavening Agents, Salt.","Contains milk, Wheat, Barley, Soy"
ORIGINAL PHILADELPHIA PORTIONS - Mondelez,,93567022,,8.2,1.1,1.8,1.1,0.308,89.8,"Milk, cream (from milk), milk solids, salt, vegetable gums (410 and/or 412), preservative (200), starter culture, processing aids (contains milk).",Milk
Hydro coco vita D 330 ml,,"8997009781585(EAN / EAN-13)
",,0,6.061,0,2.727,0.114,35.152,Coconut Water,-
Chitato Lite Rumput Laut - - 68 g,,0089686732030(EAN / EAN-13) 089686732030 (UPC / UPC-A),,6,11,1,1,0.085,106,"Potato (65%), Palm Olein Oil, Seasoning (contains Sugar, Salt, Flavor Enhancer Mononatrium Glutamate, Seaweed Powder (8%), Pepper Powder, Soy Sauce Powder, Garlic Powder, Flavor Enhancers Sodium Inosinate and Sodium Guanylate, Natural Sweetener Steviol Glycosides, Wheat, Fish, Shellfish).","Soy, Wheat, Fish, Shellfish"
Indomilk UHT Coklat - 1L,,8993007000086(EAN / EAN-13),,5,27,6,25,0.09,277,"Recombined Milk (water,skimmed milk powder-4.2%, milk fat), fresh milk-30%, sugar, cocoa powder-0.8%, plant origin stabilizer, synthetic flavour.",Milk
Coffee Oat Milk - Oatside,,"8997240600355(EAN / EAN-13)
",,7,21.4,1.4,9.8,0.235,193.4,"Oat Base (Water, Oats (10%)), Canola Oil, Palm Sugar, Sugar, Coffee Extract, Dipotassium Phosphate, Calcium Carbonate, Natural Flavouring, Sea Salt. Caffeine≥ 30mg/100mL.",Gluten
Sedap Sedaap cup ayam jerit - wings food - 75g,,8998866202930(EAN / EAN-13),,18,44,6,2,0.95,370,"Wheat flour, vegetable oil (contains antioxidant TBHQ), starch acetate emulsifier (contains sulfites), dried vegetables, salt, flavor enhancer (mononatrium glutamate), sugar, onion, flavor powdered cinnamon, garlic powder, vegetable protein hydrolysate (contains soy), yeast extract, m (contains milk), cayenne pepper (0.28%), ground pepper, garlic, dried chives, onion, vegetable pen, phosphate stabilizer, flavor enhancer (Dinatrium 5'-Inosinate and Dinatrium 5'- Guanylate); natural pa acidity regulator, silicon dioxide anti-caking agent, soy lecithin emulsifier, Vitamin B3, Tartrazin C No. synethic colorant. 19","Egg, Milk"
Sedaap tasty beef yakiniku - Wingsfood - 115g,,"8998866203043(EAN / EAN-13)
",,23,66,13,5,1.12,543,"MI: Wheat flour, vegetable oil, salt, vegetable thickener, acidity regulator, colorant (tartrazine Cl 19140) and iron. MEATS: Chicken meat, mushrooms, water, vegetable oil, garlic, sugar, salt, pepper powder, flavor enhancer, oil, soy sauce, chili sauce.","Gluten, Soybeans"
Milku Chocolate 200ML,,"8998866202725(EAN / EAN-13)
",,4.5,22,6,22,0.105,240.5,"Water, milk powder (8%), sugar, skim milk powder, cocoa powder (0.8%), vegetable and phosphate stabilizers, synthetic flavors, vegetable emulsifiers and acidity regulator. ",Milk
Ultra mimi kids cokelat,,"8998009010910(EAN / EAN-13)
",,3,15,4,15,0.06,163,"Fresh Cow's Milk, Sucrose, Cocoa Powder, Vegetable Stabilizer, Chocolate Synthetic Flavor (contains Class IV Caramel Natural Colorant), No Preservatives.","Milk, Lactose"
Oatside Full Cream,,8997240600256(EAN / EAN-13),,6,16,1,6,0.238,146,"Oat Base [Water, Oats (10%)], Canola Oil, Acidity Regulator (Dipotassium Phosphate), Calcium Carbonate, Sea Salt.",Gluten
SGM Eksplor 3+ coklat - 400g,,8999099920769(EAN / EAN-13),,5,27,5,17,0.09,241,"Maltodekstrin, Sukrosa, Campuran Minyak Nabati (mengandung antioksidan dl-a-tocoferol dan askorbil palmitat), Kakao Bubuk-4.5%, Serat Pangan-3%, 6 Mineral, Perisa Sintetik Cokelat, Pengemulsi Lesitin Kedelai, Premiks Vitamin, Perisa Sintetik Vanila, DHA Berasal dari Minyak Ikan-0.02% (mengandung antioksidan tokoferol, askorbil palmitat, asam sitrat, dan natrium askorbat)",Milk Powder
DK Sukro Oven rasa bawang - Dua Kelinci - 100g,,8995077602696(EAN / EAN-13),,7,12,5,3,0.2,143,"Peanuts, wheat flour, corn starch, sugar, garlic seasoning.","Peanut, Wheat"
Silverqueen Chunky bar - 95g,,"8991001111722(EAN / EAN-13)
",,7,10,2,8,,143,"Sugar, milk powder, cashew nuts, cocoa mass, cocoa butter, vegetable fat, PGPR soy lecithin emulsifier, salt, vanilla flavor, BHT antioxidant.","Milk, Soy"
Teh gelas cup 160 ml,,"8991102222006(EAN / EAN-13)
",,0,11,0,9,0.01,80,"Sugar Water, Jasmine Tea Leaves, Preservatives (Calcium Sorbate, Sodium Benzoate), Flavors (Synthetic, Natural), Salt, Acidity Regulator. D No Artificial Sweeteners, No Synthetic Colorings",-
Diamond Susu UHT Full Cream - 200ml,,"8999898962540(EAN / EAN-13)
",,6,10,6,6,0.1,142,"Fresh Milk-99.9%, Vitamin Premix",Milk
Greenfield uht extra vanila,,"8993351122427(EAN / EAN-13)
",,4,18,5,18,0.138,200,"Fresh Milk (51%), Water, Sugar, Skim Milk Stabilizer Powder (Vegetable, Phosphate), Vegetable Emulsifier, Chamomile Extract (0.1%), Synthetic Flavor, Salt, Vitamin Premixes",
Nutriboost rasa jeruk - 300ml,,8992761164539(EAN / EAN-13),,2,26,1,22,0.125,214,"Water, Sugar, Milk (contains milk equivalent to 10% fresh milk), Apple Cider Concentrate (contains 12% apple juice), Vegetable Stabilizer (Carboxy Methyl Cellulose), Acidity Regulator (Citric Acid, Lactic Acid, Trinatrium Citrate), Vitamin and Mineral Premix, Orange Cider Concentrate (contains 1% orange juice), Natural Sweetener Flavor Steviol Glycoside (Stevia).",Milk
L-men gain mass choco 225g,,0749921050120(EAN / EAN-13) 749921050120 (UPC / UPC-A),,4,45,22,20,0.2,384,"Milk powder, whey protein, sugar, maltodextrin, vitamin & mineral premix. L-lisine, cocoa powder.","Milk, Whey protein"
Super bubur soto - 46 g,,"8996001524060(EAN / EAN-13)
",,4,35,4,1,0.7,196,"Rice, crackers, tapioca, fried onions, flavor enhancer, salt, sugar, soup seasoning, dried vegetables, textured vegetable protein, vegetable oil (containing antioxidant TBHQ), hydrolyzed vegetable protein, maltodextreme, garlic powder, pepper powder, synthetic chicken flavor, silicon dioxide anticaking agent, turmeric powder, celery powder, acidity regulator.","Celery, Soybeans"
Espresso Kopi Susu - Kapal Api - 135 g,,"8991002306813(EAN / EAN-13)
",,0,2,0,1,0,12,"Glucose, Sugar, Vegetable Fat, Instant Coffee (2.31%), Milk Cream (0.97%), Natural Identical Coffee Flavour, Salt, Soy Lecithin Emulsifier",Milk
Peanut Pie - L'AGIE - 30g,,"8992957251579(EAN / EAN-13)
",,9,15,4,10,0.03,197,"peanuts, glucose, sugar, cocoa butter substitute, cocoa powder, whey powder, sweetened condensed milk","Peanuts, Milk"
Cimory UHT Chocolate Milk - 125ml,,993200666263(EAN / EAN-13),,3.5,15,3.5,10,0.07,145.5,"water, fresh milk-20%, sugar, full cream milk powder, milk solid, skimmed milk power, cocoa powder-1%, vegetable stabilizer, sodium citrate, vitamin premix, chocolate artifial flavour (contains natural color caramel 1)",Milk
Instant Coffee - Top Cafe Palm Sugar,,"8998866623032(EAN / EAN-13)
",,0.55,3.96,0.22,3.08,,33.99,"Sugar, Vegetable Creamer, Instant Coffee Powder (9.6%), Powdered Skim Milk, Synthetic Flavor, Salt, Artificial Sweetener (Asesulfame-K, Sucralose)",Milk
Ahh siip - Nabati,,"8993175554879(EAN / EAN-13)
",,4,11,,4,,96,"Corn, Vegetable oil, Sugar, Cheese powder, Curcumin coloring, Whey powder, Salt, Vitamins A, B1, B2, B12,","Cheese, Whey"
